epoch,best_acc@1,loss,acc@1,acc@5,f1-micro,training_loss,training_acc@1,training_acc@5,training_f1-micro,training_learning-rate
125,0.6068,1.445885693359375,0.586,0.8756,0.586,1.917059471435547,0.47736,0.7684,0.47736,0.3298257228832301
126,0.6068,1.5124129837036133,0.5796,0.854,0.5796,1.9607802026367187,0.47532,0.74976,0.47532,0.3272545940852399
127,0.6068,1.4259050659179688,0.5968,0.8724,0.5968,1.913244346923828,0.48896,0.7682,0.48896,0.32467439917678154
128,0.6068,1.5562569198608398,0.5786,0.8618,0.5786,1.933602001953125,0.48004,0.76624,0.48004,0.3220854409551676
129,0.6068,1.5988942596435547,0.5632,0.859,0.5632,1.926902509765625,0.47528,0.76848,0.47528,0.31948802324612435
130,0.6068,1.5673861534118652,0.5828,0.8592,0.5828,2.045505642089844,0.46568,0.74892,0.46568,0.3168824508681362
131,0.6068,1.4704111434936524,0.5948,0.8744,0.5948,1.8384507238769532,0.50012,0.78476,0.50012,0.31426902959667413
132,0.6086,1.362184310913086,0.6086,0.8816,0.6086,1.8248536779785156,0.50612,0.7796,0.50612,0.3116480661283119
133,0.6086,1.6916424560546874,0.5542,0.8572,0.5542,2.039605446777344,0.46784,0.75712,0.46784,0.3090198680447331
134,0.6086,1.5506383239746093,0.5632,0.8652,0.5632,1.8941551770019531,0.48448,0.7676,0.48448,0.3063847437766357
135,0.6086,1.415140224456787,0.603,0.876,0.603,1.8516394348144531,0.49476,0.77564,0.49476,0.30374300256753617
136,0.6086,1.6072467956542968,0.5632,0.8428,0.5632,1.976401815185547,0.4668,0.75212,0.4668,0.30109495443747825
137,0.6086,1.467914273071289,0.6006,0.8718,0.6006,1.890312176513672,0.49008,0.77408,0.49008,0.2984409101466508
138,0.6086,1.5728445343017579,0.5686,0.8554,0.5686,1.9341479223632811,0.47264,0.76728,0.47264,0.29578118115891877
139,0.6318,1.3013894134521484,0.6318,0.8958,0.6318,1.6998859375,0.52488,0.80376,0.52488,0.2931160796052717
140,0.6318,1.370328971862793,0.6158,0.8866,0.6158,1.783893592529297,0.50948,0.7924,0.50948,0.2904459182471932
141,0.6318,1.686015887451172,0.5586,0.839,0.5586,2.108305764160156,0.45432,0.7308,0.45432,0.28777101043995745
142,0.6318,1.3328583175659179,0.6148,0.8904,0.6148,1.7190914086914062,0.52492,0.80276,0.52492,0.28509167009585573
143,0.6318,1.3341678283691407,0.6086,0.8888,0.6086,1.7043654040527343,0.52536,0.80528,0.52536,0.2824082116473569
144,0.6318,1.4660351440429686,0.5972,0.8724,0.5972,1.934197149658203,0.489,0.76224,0.489,0.2797209500102079
145,0.6318,1.5128251449584962,0.5856,0.8732,0.5856,1.82896876953125,0.5028,0.7894,0.5028,0.2770302005464764
146,0.6318,1.3115311553955078,0.6244,0.89,0.6244,1.85663400390625,0.50756,0.78016,0.50756,0.2743362790275422
147,0.6318,1.3266029724121093,0.6168,0.8934,0.6168,1.787877237548828,0.50868,0.79028,0.50868,0.27163950159703987
148,0.6318,1.57635595703125,0.5692,0.8526,0.5692,1.9344011889648438,0.47532,0.7606,0.47532,0.26894018473375764
149,0.6318,1.312372737121582,0.6238,0.8984,0.6238,1.7381090625,0.52436,0.79608,0.52436,0.2662386452144975
150,0.6318,1.3241577026367188,0.6258,0.886,0.6258,1.7327385510253905,0.52172,0.79288,0.52172,0.26353520007690034
151,0.6318,1.5649612625122071,0.5846,0.8562,0.5846,1.9551943188476562,0.48264,0.7642,0.48264,0.26083016658223934
152,0.6318,1.334775567626953,0.6162,0.891,0.6162,1.7247698559570313,0.51928,0.79988,0.51928,0.25812386217818856
153,0.6514,1.250166015625,0.6514,0.9016,0.6514,1.5888816479492187,0.55636,0.82844,0.55636,0.25541660446156905
154,0.6514,1.3679491912841797,0.613,0.882,0.613,1.7965626538085937,0.51284,0.7826,0.51284,0.2527087111410771
155,0.6528,1.2325826416015624,0.6528,0.9024,0.6528,1.6179685595703126,0.54804,0.81696,0.54804,0.2500005000000003
156,0.6528,1.343074087524414,0.6284,0.8868,0.6284,1.6708004638671874,0.5344,0.81408,0.5344,0.24729228885892346
157,0.6528,1.359838739013672,0.636,0.8924,0.636,1.653815164794922,0.5424,0.81732,0.5424,0.2445843955384315
158,0.6528,1.4720360382080078,0.6072,0.881,0.6072,1.7699797155761718,0.52104,0.79852,0.52104,0.241877137821812
159,0.6528,1.3395707946777344,0.6214,0.8908,0.6214,1.7705311193847657,0.5166,0.79348,0.5166,0.23917083341776119
160,0.6528,1.266275473022461,0.6316,0.8906,0.6316,1.6483955944824218,0.54084,0.81236,0.54084,0.23646579992310016
161,0.6528,1.3587349090576173,0.634,0.9004,0.634,1.7062713037109376,0.53516,0.8104,0.53516,0.23376235478550292
162,0.6528,1.297207418823242,0.6296,0.883,0.6296,1.6967399011230468,0.52984,0.80092,0.52984,0.2310608152662429
163,0.6528,1.3235586853027344,0.6216,0.8978,0.6216,1.683424774169922,0.53232,0.81156,0.53232,0.2283614984029606
164,0.6528,1.3662220764160156,0.6194,0.8946,0.6194,1.6805965991210938,0.53952,0.81036,0.53952,0.22566472097245815
165,0.66,1.191855940246582,0.66,0.9102,0.66,1.595536591796875,0.55552,0.81848,0.55552,0.22297079945352397
166,0.66,1.3019079650878906,0.6348,0.8968,0.6348,1.644474783935547,0.55112,0.81644,0.55112,0.2202800499897925
167,0.66,1.2353915344238282,0.651,0.8992,0.651,1.574299581298828,0.56504,0.8232,0.56504,0.2175927883526435
168,0.66,1.1975171676635743,0.6566,0.9012,0.6566,1.6049934619140624,0.55272,0.81992,0.55272,0.21490932990414469
169,0.66,1.26821227684021,0.643,0.8966,0.643,1.5784205615234375,0.5612,0.81948,0.5612,0.21222998956004302
170,0.6686,1.1603484985351562,0.6686,0.9072,0.6686,1.5696681085205078,0.56616,0.82268,0.56616,0.2095550817528073
171,0.6686,1.2344702239990235,0.648,0.907,0.648,1.6937591320800782,0.5402,0.80792,0.5402,0.20688492039472878
172,0.6686,1.207230810546875,0.6562,0.909,0.6562,1.5829842193603516,0.56056,0.8234,0.56056,0.20421981884108165
173,0.6686,1.2249612777709962,0.6492,0.912,0.6492,1.557926219482422,0.56812,0.83024,0.56812,0.20156008985334972
174,0.6686,1.203040754699707,0.657,0.9134,0.657,1.5608765283203125,0.56696,0.82772,0.56696,0.19890604556252228
175,0.6686,1.3605714065551757,0.6252,0.8858,0.6252,1.6678635314941406,0.54044,0.80972,0.54044,0.19625799743246433
176,0.6686,1.2616936340332032,0.6522,0.9016,0.6522,1.5663356176757812,0.56396,0.82496,0.56396,0.19361625622336467
177,0.6686,1.198794808959961,0.6588,0.9078,0.6588,1.5718742309570313,0.55948,0.82136,0.55948,0.1909811319552673
178,0.6686,1.2337495269775391,0.6488,0.9006,0.6488,1.6775896423339844,0.55512,0.81568,0.55512,0.18835293387168853
179,0.6686,1.4208321044921874,0.6186,0.8746,0.6186,1.7087711517333983,0.54072,0.80204,0.54072,0.18573197040332623
180,0.6686,1.3465919212341309,0.6334,0.8876,0.6334,1.955961551513672,0.524,0.78568,0.524,0.1831185491318642
181,0.6738,1.1401157730102538,0.6738,0.9162,0.6738,1.4945900769042968,0.57844,0.8386,0.57844,0.18051297675387604
182,0.6738,1.2533299118041992,0.6422,0.892,0.6422,1.5838672509765626,0.56212,0.8212,0.56212,0.17791555904483272
183,0.6738,1.1621220336914062,0.6602,0.9108,0.6602,1.5159003662109376,0.57284,0.83376,0.57284,0.17532660082321883
184,0.6738,1.1973605346679688,0.6556,0.9056,0.6556,1.5504015319824218,0.57052,0.8254,0.57052,0.17274640591476054
185,0.6738,1.2214780952453612,0.6556,0.903,0.6556,1.5819498901367188,0.56484,0.822,0.56484,0.17017527711677022
186,0.6824,1.1040016647338866,0.6824,0.9146,0.6824,1.4587702404785157,0.59084,0.84068,0.59084,0.1676135161626123
187,0.6824,1.3119069610595704,0.635,0.891,0.635,1.657108065185547,0.5468,0.80644,0.5468,0.16506142368629284
188,0.6824,1.197903482055664,0.6548,0.9084,0.6548,1.485953643798828,0.584,0.84024,0.584,0.16251929918717953
189,0.6824,1.1608904594421388,0.6742,0.9172,0.6742,1.4530522180175782,0.59008,0.84856,0.59008,0.15998744099485346
190,0.6824,1.1077187492370606,0.6802,0.9238,0.6802,1.4562440588378907,0.58628,0.84392,0.58628,0.15746614623409916
191,0.6824,1.1714328399658203,0.664,0.9116,0.664,1.4580323541259765,0.58924,0.848,0.58924,0.15495571079003564
192,0.6824,1.209160498046875,0.661,0.9026,0.661,1.5429250231933593,0.57016,0.82332,0.57016,0.1524564292733931
193,0.6824,1.1831968017578125,0.6708,0.9032,0.6708,1.519854560546875,0.5826,0.82868,0.5826,0.14996859498593862
194,0.6824,1.1476917724609375,0.6806,0.9186,0.6806,1.4652955694580079,0.59404,0.84212,0.59404,0.14749249988605634
195,0.6914,1.0971602508544922,0.6914,0.9162,0.6914,1.400927919921875,0.60728,0.85304,0.60728,0.14502843455448478
196,0.6914,1.126143635559082,0.6842,0.9118,0.6842,1.4634078839111329,0.5948,0.84076,0.5948,0.14257668816021554
197,0.6914,1.206823844909668,0.6598,0.9128,0.6598,1.466153310546875,0.58624,0.84008,0.58624,0.1401375484265586
198,0.6914,1.2669665969848634,0.6536,0.902,0.6536,1.496701337890625,0.58728,0.83916,0.58728,0.13771130159737627
199,0.6966,1.0434918930053712,0.6966,0.9274,0.6966,1.348222407836914,0.61968,0.85652,0.61968,0.13529823240349137
200,0.6966,1.2019487747192383,0.6614,0.9152,0.6614,1.5041842614746095,0.58096,0.84228,0.58096,0.1328986240292729
201,0.7122,1.021748648071289,0.7122,0.93,0.7122000000000002,1.3266189721679686,0.62516,0.86064,0.62516,0.13051275807940274
202,0.7122,1.1844030517578126,0.665,0.913,0.665,1.4631615338134765,0.59064,0.8404,0.59064,0.12814091454582865
203,0.7122,1.1502589645385741,0.6784,0.9148,0.6784,1.436199400024414,0.59684,0.84984,0.59684,0.1257833717749054
204,0.7122,1.0730557502746583,0.6962,0.9222,0.6962,1.324942373046875,0.6256,0.86104,0.6256,0.12344040643472995
205,0.7122,1.2127625213623048,0.6704,0.9118,0.6704,1.4359807623291017,0.59912,0.84716,0.59912,0.12111229348267329
206,0.7122,1.0753045257568359,0.6884,0.921,0.6884,1.3020086883544921,0.631,0.86812,0.631,0.11879930613311249
207,0.7122,1.0048498298645019,0.7082,0.9328,0.7082,1.2966204345703125,0.63148,0.86844,0.63148,0.1165017158253685
208,0.7122,1.1655009628295898,0.6844,0.9146,0.6844,1.3826919506835937,0.61344,0.85592,0.61344,0.11421979219185059
209,0.7144,1.007260431289673,0.7144,0.9342,0.7144,1.2764807702636718,0.63772,0.86992,0.63772,0.11195380302641499
210,0.7144,1.19954111328125,0.665,0.9118,0.665,1.4832204553222657,0.58712,0.83648,0.58712,0.10970401425293719
211,0.7144,1.0945669036865235,0.6916,0.9246,0.6916,1.3447581469726562,0.61816,0.86004,0.61816,0.10747068989410455
212,0.7144,1.1385631469726563,0.6762,0.9218,0.6762,1.3418721563720704,0.61956,0.86172,0.61956,0.10525409204043286
213,0.7144,1.1146872787475586,0.683,0.9162,0.683,1.380147969970703,0.61224,0.8512,0.61224,0.10305448081950795
214,0.7148,0.9904428489685059,0.7148,0.9366,0.7148,1.2041783569335938,0.65724,0.8814,0.65724,0.10087211436545926
215,0.7148,1.0724035217285157,0.693,0.9264,0.693,1.2763788116455077,0.6388,0.8676,0.6388,0.09870724878866644
216,0.7148,1.0520025329589844,0.6974,0.9278,0.6974,1.3034104681396483,0.62756,0.86732,0.62756,0.09656013814570318
217,0.7148,1.030352960205078,0.7036,0.929,0.7036,1.264757982788086,0.64296,0.87168,0.64296,0.09443103440952347
218,0.7278,0.9298815124511719,0.7278,0.9414,0.7278000000000001,1.175282568359375,0.66244,0.88228,0.66244,0.0923201874398904
219,0.7278,0.9789296405792236,0.7166,0.9334,0.7166,1.2086788665771484,0.65724,0.87772,0.65724,0.09022784495405531
