epoch,best_acc@1,loss,acc@1,acc@5,f1-micro,training_loss,training_acc@1,training_acc@5,training_f1-micro,training_learning-rate
17,0.58916,1.77646169921875,0.58916,0.83712,0.58916,2.553206453100807,0.43578046642554985,0.68189397607619,0.43578046642554985,0.4992815558184628
18,0.58916,1.912099580078125,0.5608,0.82088,0.5608,2.596760884368495,0.42498470314764847,0.6760056610030687,0.42498470314764847,0.49906176158585897
19,0.58916,1.776937646484375,0.58968,0.84152,0.58968,2.46940418074372,0.45112558365470995,0.697299813635295,0.45112558365470995,0.49881273943802173
20,0.59916,1.701578779296875,0.59916,0.84884,0.59916,2.4160031803808453,0.4570715051947021,0.7046718844632245,0.457071505194702,0.4985345185988042
21,0.59916,1.732542431640625,0.59748,0.84144,0.59748,2.514377564292089,0.44243479181489953,0.6875643207341243,0.44243479181489953,0.49822713171865546
22,0.59916,1.8290823828125,0.58896,0.83836,0.58896,2.4714710577237597,0.4489770181335816,0.6986963812240284,0.4489770181335816,0.4978906148707888
23,0.59916,1.788925185546875,0.5884,0.83396,0.5884,2.487232010992557,0.4465419772096362,0.6930120241822606,0.4465419772096362,0.49752500754694834
24,0.62652,1.660027763671875,0.62652,0.86088,0.62652,2.3076080416675504,0.4821863678188479,0.7250474474885916,0.4821863678188479,0.49713035265277455
25,0.62652,1.8465551171875,0.5852,0.8328,0.5852,2.5704693990534366,0.43401023526792454,0.6819048745969494,0.43401023526792454,0.496706696502769
26,0.62652,1.67351853515625,0.61564,0.85524,0.61564,2.375185884929842,0.46890574180781547,0.712641817001381,0.46890574180781547,0.49625408881485933
27,0.62652,1.805132197265625,0.58724,0.8356,0.58724,2.5023282109414047,0.44468144402286197,0.6921837366045502,0.44468144402286197,0.4957725827045645
28,0.6378,1.642189619140625,0.6378,0.869,0.6378,2.2825284032890445,0.4916073605495346,0.7322856222043348,0.4916073605495346,0.4952622346787614
29,0.64672,1.523993984375,0.64672,0.87584,0.64672,2.1880336550091743,0.5048786449713447,0.7441509974481892,0.5048786449713447,0.49472310462905383
30,0.64672,1.605567734375,0.6274,0.86076,0.6274,2.3442100246150877,0.47674644902839686,0.7168034949999144,0.47674644902839686,0.49415525582474323
31,0.64672,1.68636462890625,0.60684,0.85016,0.60684,2.383127879935631,0.4654446830009544,0.7107314620054213,0.4654446830009544,0.4935587549054047
32,0.64672,1.651866123046875,0.63088,0.86512,0.63088,2.3169558960568546,0.48192013252601246,0.7242409569524,0.48192013252601246,0.49293367187306564
33,0.64672,1.6823159375,0.6126,0.85496,0.6126,2.3640465194813736,0.46863639265190593,0.7148853553462694,0.46863639265190593,0.4922800800839916
34,0.64672,1.669234658203125,0.6158,0.85744,0.6158,2.3516047956264625,0.47232164960010214,0.7172269803779918,0.47232164960010214,0.4915980562400768
35,0.64672,1.549493515625,0.6406,0.87368,0.6406,2.2146065910498063,0.4987334361946102,0.7383218457734758,0.4987334361946102,0.49088768037984326
36,0.64672,1.63076931640625,0.61956,0.85436,0.61956,2.4169390575914083,0.4650367669382474,0.7050720158682462,0.4650367669382474,0.4901490358690479
37,0.64672,1.600714873046875,0.62924,0.8638,0.62924,2.2988857101806977,0.4831392099195222,0.7235995011591355,0.4831392099195222,0.48938220939089894
38,0.64672,1.66539869140625,0.6252,0.85884,0.6252,2.3926877020392348,0.4717066616429676,0.7118991606582084,0.4717066616429676,0.4885872909358836
39,0.64672,1.635088125,0.62708,0.8628,0.62708,2.3295107333066043,0.47821463546783455,0.7195296821212881,0.47821463546783455,0.4877643737912071
